	pre	rec	f1	acc	auc
0	0.9266347687400319	0.5792622133599202	0.7128834355828221	0.8830876842368224	0.9182212529079428
1	0.9567430025445293	0.9371884346959123	0.9468647695794511	0.9736447664251812	0.9936658358258559
2	0.9738955823293173	0.967098703888335	0.9704852426213108	0.985261054209343	0.998878281821203
3	0.9900299102691924	0.9900299102691924	0.9900299102691924	0.9950037471896078	0.9997037221668329
4	0.9920199501246882	0.9915254237288136	0.9917726252804786	0.9958780914314265	0.9998604187437687
5	0.9945109780439122	0.9935194416749751	0.9940149625935162	0.9970022483137647	0.9999343635759389
6	0.9985037406483791	0.9980059820538385	0.9982547993019196	0.9991256557581814	0.9999804752409438
7	0.9980059820538385	0.9980059820538385	0.9980059820538385	0.9990007494379216	0.999995347291459
8	0.9940209267563528	0.9945164506480558	0.9942686269623724	0.9971271546340245	0.9998148886673313
9	0.9995014955134596	0.9995014955134596	0.9995014955134596	0.9997501873594804	0.9999995014955135
10	1.0	1.0	1.0	1.0	1.0
11	1.0	1.0	1.0	1.0	1.0
12	1.0	1.0	1.0	1.0	1.0
13	1.0	1.0	1.0	1.0	1.0
14	1.0	1.0	1.0	1.0	1.0
15	0.9995004995004995	0.9975074775672981	0.998502994011976	0.9992505620784412	0.9999973413094051
16	1.0	1.0	1.0	1.0	1.0
17	1.0	1.0	1.0	1.0	1.0
18	1.0	1.0	1.0	1.0	1.0
